Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
820499	Summer Grains and Oilseeds not elsewhere classified	8204	Summer Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Summer Grains and Oilseeds not elsewhere classified
820501	Barley	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Barley
820502	Canola	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Canola
820503	Grain Legumes	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Grain Legumes
820504	Linseed	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Linseed
820505	Lupins	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Lupins
820506	Oats	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Oats
820507	Wheat	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Wheat
820599	Winter Grains and Oilseeds not elsewhere classified	8205	Winter Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Winter Grains and Oilseeds not elsewhere classified
820601	Cotton Lint and Cotton Seed	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Cotton Lint and Cotton Seed
820602	Fresh Fruits and Vegetables (Post Harvest)	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Fresh Fruits and Vegetables (Post Harvest)
820603	Sugar Cane (Cut for Crushing)	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Sugar Cane (Cut for Crushing)
820604	Tobacco Leaf	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Tobacco Leaf
820605	Unprocessed Grains	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Grains
820606	Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)
820607	Unprocessed Oilseeds	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Oilseeds
820699	Harvesting and Packing of Plant Products not elsewhere classified	8206	Harvesting and Packing of Plant Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Harvesting and Packing of Plant Products not elsewhere classified
829801	Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)
829802	Management of Greenhouse Gas Emissions from Plant Production	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Greenhouse Gas Emissions from Plant Production
829803	Management of Liquid Waste from Plant Production (excl. Water)	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Liquid Waste from Plant Production (excl. Water)
829804	Management of Solid Waste from Plant Production	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Solid Waste from Plant Production
829805	Management of Water Consumption by Plant Production	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Water Consumption by Plant Production
829899	Environmentally Sustainable Plant Production not elsewhere classified	8298	Environmentally Sustainable Plant Production	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Environmentally Sustainable Plant Production not elsewhere classified
829901	Forest Product Traceability and Quality Assurance	8299	Other Plant Production and Plant Primary Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Forest Product Traceability and Quality Assurance
829902	Plant Product Traceability and Quality Assurance (excl. Forest Products)	8299	Other Plant Production and Plant Primary Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Plant Product Traceability and Quality Assurance (excl. Forest Products)
829999	Plant Production and Plant Primary Products not elsewhere classified	8299	Other Plant Production and Plant Primary Products	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Plant Production and Plant Primary Products not elsewhere classified
830101	Aquaculture Crustaceans (excl. Rock Lobster and Prawns)	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Crustaceans (excl. Rock Lobster and Prawns)
830102	Aquaculture Fin Fish (excl. Tuna)	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Fin Fish (excl. Tuna)
830103	Aquaculture Molluscs (excl. Oysters)	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Molluscs (excl. Oysters)
830104	Aquaculture Oysters	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Oysters
830105	Aquaculture Prawns	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Prawns
830106	Aquaculture Rock Lobster	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Rock Lobster
830107	Aquaculture Tuna	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Tuna
830199	Fisheries - Aquaculture not elsewhere classified	8301	Fisheries - Aquaculture	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Fisheries - Aquaculture not elsewhere classified
830201	Fisheries - Recreational	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Fisheries - Recreational
830202	Wild Caught Crustaceans (excl. Rock Lobster and Prawns)	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Crustaceans (excl. Rock Lobster and Prawns)
830203	Wild Caught Edible Molluscs	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Edible Molluscs
830204	Wild Caught Fin Fish (excl. Tuna)	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Fin Fish (excl. Tuna)
830205	Wild Caught Prawns	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Prawns
830206	Wild Caught Rock Lobster	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Rock Lobster
830207	Wild Caught Tuna	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Tuna
830299	Fisheries - Wild Caught not elsewhere classified	8302	Fisheries - Wild Caught	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Fisheries - Wild Caught not elsewhere classified
830301	Beef Cattle	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Beef Cattle
830302	Dairy Cattle	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Dairy Cattle
830303	Deer	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Deer
830304	Goats	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Goats
830305	Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)
830306	Horses	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Horses
830307	Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)
830308	Pigs	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Pigs
