Code	Description	Three_Digit_Code	Three_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
0919	Health, not elsewhere classified	091	Health	09	Health and welfare	Health and welfare/Health/Health, not elsewhere classified
0920	Welfare, not further defined	092	Welfare	09	Health and welfare	Health and welfare/Welfare/Welfare, not further defined
0921	Care of the elderly and of disabled adults	092	Welfare	09	Health and welfare	Health and welfare/Welfare/Care of the elderly and of disabled adults
0922	Child care and youth services	092	Welfare	09	Health and welfare	Health and welfare/Welfare/Child care and youth services
0923	Social work and counselling	092	Welfare	09	Health and welfare	Health and welfare/Welfare/Social work and counselling
0929	Welfare, not elsewhere classified	092	Welfare	09	Health and welfare	Health and welfare/Welfare/Welfare, not elsewhere classified
0988	Health and Welfare, inter-disciplinary programmes	098	NA	09	Health and welfare	NA
1010	Personal services, not further defined	101	Personal services	10	Services	Services/Personal services/Personal services, not further defined
1011	Domestic services	101	Personal services	10	Services	Services/Personal services/Domestic services
1012	Hair and beauty services	101	Personal services	10	Services	Services/Personal services/Hair and beauty services
1013	Hotel, restaurants and catering	101	Personal services	10	Services	Services/Personal services/Hotel, restaurants and catering
1014	Sports	101	Personal services	10	Services	Services/Personal services/Sports
1015	Travel, tourism and leisure	101	Personal services	10	Services	Services/Personal services/Travel, tourism and leisure
1019	Personal services, not elsewhere classified	101	Personal services	10	Services	Services/Personal services/Personal services, not elsewhere classified
1020	Hygiene and occupational health services, not further defined	102	Hygiene and occupational health	10	Services	Services/Hygiene and occupational health/Hygiene and occupational health services, not further defined
1021	Community sanitation	102	Hygiene and occupational health	10	Services	Services/Hygiene and occupational health/Community sanitation
1022	Occupational health and safety	102	Hygiene and occupational health	10	Services	Services/Hygiene and occupational health/Occupational health and safety
1029	Hygiene and occupational health services, not elsewhere classified	102	Hygiene and occupational health	10	Services	Services/Hygiene and occupational health/Hygiene and occupational health services, not elsewhere classified
1030	Security services, not further defined	103	Security services	10	Services	Services/Security services/Security services, not further defined
1031	Military and defence	103	Security services	10	Services	Services/Security services/Military and defence
1032	Protection of persons and property	103	Security services	10	Services	Services/Security services/Protection of persons and property
1039	Security services, not elsewhere classified	103	Security services	10	Services	Services/Security services/Security services, not elsewhere classified
1041	Transport services	104	Transport services	10	Services	Services/Transport services/Transport services
1049	Transport services, not elsewhere classified	104	Transport services	10	Services	Services/Transport services/Transport services, not elsewhere classified
1088	Services, inter-disciplinary programmes	108	NA	10	Services	NA
9999	Unknown	999	Unknown	99	Unknown	Unknown
