Version	Code	Description	Definition
1.0	CA	Call for Applications	The timeframe within which the call for applications is made
1.0	IA	Initial Application	The timeframe within which an initial application for resources must be made
1.0	DA	Detailed Application	The timeframe within which a detailed application for resources must be made
1.0	RE	Review	The timeframe within which application reviews will be completed
1.0	DE	Decision	The timeframe within which award decisions are made
1.0	AP	Award Publication	The timeframe within which awards granted are notified
1.0	DS	Distribution	The timeframe within which the resources granted will be distributed
1.0	ED	Extended Distribution	The timeframe within which any potential extensions to awards will be distributed
1.0	OT	Other	A timeframe for another important activity in the distribution of resources not specified in this code set
