Version	Code	Description	Appropriation	AppropriationPeriod	Vote	Scope	EstimateType	StartYear	EndYear	Amount
1.0	00000745-2019-E	National Measurement Standards Business, Science and Innovation, 2019	National Measurement Standards	A	Business, Science and Innovation	This appropriation is limited to providing specified standards to satisfy the needs for traceable physical measurement in New Zealand.	E	2019	2020	7632000
1.0	00012500-2019-E	National Science Challenges Business, Science and Innovation, 2019	National Science Challenges	A	Business, Science and Innovation	This appropriation is limited to strategic, collaborative mission-led research programmes to find innovative solutions to fundamental issues and opportunities facing New Zealand.	E	2019	2020	99963000
1.0	00011823-2019-E	Partnered Research Fund Business, Science and Innovation, 2019	Partnered Research Fund	A	Business, Science and Innovation	This appropriation is limited to the co-funding of research commissioned by users, and the application of research by users.	E	2019	2020	39473000
1.0	00011929-2019-E	Regional Research Institutes Business, Science and Innovation, 2019	Regional Research Institutes	A	Business, Science and Innovation	This appropriation is limited to the establishment of and contribution to the operation of Regional Research Institutes.	E	2019	2020	22408000
1.0	00010825-2019-E	Repayable Grants for Start-Ups Business, Science and Innovation, 2019	Repayable Grants for Start-Ups	A	Business, Science and Innovation	This appropriation is limited to funding for early stage businesses and development of business incubators and accelerators.	E	2019	2020	16246000
1.0	00012052-2019-E	Research and Development Growth Grants Business, Science and Innovation, 2019	Research and Development Growth Grants	A	Business, Science and Innovation	This appropriation is limited to co-funding for private businesses to invest in a multi-year programme of research and development.	E	2019	2020	174186000
1.0	00011815-2019-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure Business, Science and Innovation, 2019	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure	A	Business, Science and Innovation	This category is limited to funding that provides access to research technology, facilities, infrastructure, collections and databases, and associated support services.	E	2019	2020	70139000
1.0	00011814-2019-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes Business, Science and Innovation, 2019	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes	A	Business, Science and Innovation	This category is limited to funding for research organisations to undertake longer-term programmes of mission-led research.	E	2019	2020	229875000
1.0	00011811-2019-E	Talent and Science Promotion: Fellowships for Excellence Business, Science and Innovation, 2019	Talent and Science Promotion: Fellowships for Excellence	A	Business, Science and Innovation	This category is limited to encouraging the career development of the country's talented early and mid-career researchers.	E	2019	2020	12770000
1.0	00011812-2019-E	Talent and Science Promotion: Royal Society of New Zealand Business, Science and Innovation, 2019	Talent and Science Promotion: Royal Society of New Zealand	A	Business, Science and Innovation	This category is limited to an annual grant to the Royal Society of New Zealand to contribute towards the Society's aims and functions under the Royal Society of New Zealand Act 1997 to promote and advance science and technology.	E	2019	2020	500000
