Code	Description	Definition
01	CoRE Theme	MBIE Centre of Research Excellence Theme
02	NSC Theme	MBIE National Science Challenge Theme
03	Health Research Theme	Health Research Council Health Research Theme
04	MPI Theme	MPI Primary Industry Research Theme
05	Vision Mātauranga Theme	MBIE Vision Mātauranga Research Theme
