Code,Description,Definition,Numeric_Code
MRU,Ouguiya,This code is for the Ouguiya used in Mauritania,929
MUR,Mauritius Rupee,This code is for the Mauritius Rupee used in Mauritius,480
XUA,ADB Unit of Account,This code is for ADB Unit of Account,965
MXN,Mexican Peso,This code is for the Mexican Peso used in Mexico,484
MXV,Mexican Unidad de Inversion (UDI),This code is for the Mexican Unidad de Inversion (UDI) used in Mexico,979
MDL,Moldovan Leu,This code is for the Moldovan Leu used in Moldova (The Republic Of),498
MNT,Tugrik,This code is for the Tugrik used in Mongolia,496
MAD,Moroccan Dirham,"This code is for the Moroccan Dirham used in Morocco, Western Sahara",504
MZN,Mozambique Metical,This code is for the Mozambique Metical used in Mozambique,943
MMK,Kyat,This code is for the Kyat used in Myanmar,104
NAD,Namibia Dollar,This code is for the Namibia Dollar used in Namibia,516
NPR,Nepalese Rupee,This code is for the Nepalese Rupee used in Nepal,524
NIO,Cordoba Oro,This code is for the Cordoba Oro used in Nicaragua,558
NGN,Naira,This code is for the Naira used in Nigeria,566
OMR,Rial Omani,This code is for the Rial Omani used in Oman,512
PKR,Pakistan Rupee,This code is for the Pakistan Rupee used in Pakistan,586
PAB,Balboa,This code is for the Balboa used in Panama,590
PGK,Kina,This code is for the Kina used in Papua New Guinea,598
PYG,Guarani,This code is for the Guarani used in Paraguay,600
PEN,Sol,This code is for the Sol used in Peru,604
PHP,Philippine Peso,This code is for the Philippine Peso used in Philippines (The),608
PLN,Zloty,This code is for the Zloty used in Poland,985
QAR,Qatari Rial,This code is for the Qatari Rial used in Qatar,634
RON,Romanian Leu,This code is for the Romanian Leu used in Romania,946
RUB,Russian Ruble,This code is for the Russian Ruble used in Russian Federation (The),643
RWF,Rwanda Franc,This code is for the Rwanda Franc used in Rwanda,646
SHP,Saint Helena Pound,"This code is for the Saint Helena Pound used in Saint Helena, Ascension And Tristan Da Cunha",654
WST,Tala,This code is for the Tala used in Samoa,882
STN,Dobra,This code is for the Dobra used in Sao Tome And Principe,930
SAR,Saudi Riyal,This code is for the Saudi Riyal used in Saudi Arabia,682
RSD,Serbian Dinar,This code is for the Serbian Dinar used in Serbia,941
SCR,Seychelles Rupee,This code is for the Seychelles Rupee used in Seychelles,690
SLL,Leone,This code is for the Leone used in Sierra Leone,694
SGD,Singapore Dollar,This code is for the Singapore Dollar used in Singapore,702
XSU,Sucre,This code is for Sucre,994
SBD,Solomon Islands Dollar,This code is for the Solomon Islands Dollar used in Solomon Islands,090
SOS,Somali Shilling,This code is for the Somali Shilling used in Somalia,706
SSP,South Sudanese Pound,This code is for the South Sudanese Pound used in South Sudan,728
LKR,Sri Lanka Rupee,This code is for the Sri Lanka Rupee used in Sri Lanka,144
SDG,Sudanese Pound,This code is for the Sudanese Pound used in Sudan (The),938
SRD,Surinam Dollar,This code is for the Surinam Dollar used in Suriname,968
SZL,Lilangeni,This code is for the Lilangeni used in Eswatini,748
SEK,Swedish Krona,This code is for the Swedish Krona used in Sweden,752
CHE,WIR Euro,This code is for the WIR Euro used in Switzerland,947
CHW,WIR Franc,This code is for the WIR Franc used in Switzerland,948
SYP,Syrian Pound,This code is for the Syrian Pound used in Syrian Arab Republic,760
TWD,New Taiwan Dollar,This code is for the New Taiwan Dollar used in Taiwan (Province Of China),901
TJS,Somoni,This code is for the Somoni used in Tajikistan,972
TZS,Tanzanian Shilling,"This code is for the Tanzanian Shilling used in Tanzania, United Republic Of",834
THB,Baht,This code is for the Baht used in Thailand,764
TOP,Pa’anga,This code is for the Pa’anga used in Tonga,776
TTD,Trinidad and Tobago Dollar,This code is for the Trinidad and Tobago Dollar used in Trinidad And Tobago,780
TND,Tunisian Dinar,This code is for the Tunisian Dinar used in Tunisia,788
TRY,Turkish Lira,This code is for the Turkish Lira used in Turkey,949
TMT,Turkmenistan New Manat,This code is for the Turkmenistan New Manat used in Turkmenistan,934
UGX,Uganda Shilling,This code is for the Uganda Shilling used in Uganda,800
UAH,Hryvnia,This code is for the Hryvnia used in Ukraine,980
AED,UAE Dirham,This code is for the UAE Dirham used in United Arab Emirates (The),784
USN,US Dollar (Next day),This code is for the US Dollar (Next day) used in United States Of America (The),997
UYU,Peso Uruguayo,This code is for the Peso Uruguayo used in Uruguay,858
UYI,Uruguay Peso en Unidades Indexadas (UI),This code is for the Uruguay Peso en Unidades Indexadas (UI) used in Uruguay,940
UYW,Unidad Previsional,This code is for the Unidad Previsional used in Uruguay,927
UZS,Uzbekistan Sum,This code is for the Uzbekistan Sum used in Uzbekistan,860
VUV,Vatu,This code is for the Vatu used in Vanuatu,548
VES,Bolívar Soberano,This code is for the Bolívar Soberano used in Venezuela (Bolivarian Republic Of),928
VND,Dong,This code is for the Dong used in Viet Nam,704
YER,Yemeni Rial,This code is for the Yemeni Rial used in Yemen,886
ZMW,Zambian Kwacha,This code is for the Zambian Kwacha used in Zambia,967
ZWL,Zimbabwe Dollar,This code is for the Zimbabwe Dollar used in Zimbabwe,932
XBA,Bond Markets Unit European Composite Unit (EURCO),This code is for Bond Markets Unit European Composite Unit (EURCO),955
XBB,Bond Markets Unit European Monetary Unit (E.M.U.-6),This code is for Bond Markets Unit European Monetary Unit (E.M.U.-6),956
XBC,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),This code is for Bond Markets Unit European Unit of Account 9 (E.U.A.-9),957
XBD,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),This code is for Bond Markets Unit European Unit of Account 17 (E.U.A.-17),958
XTS,Codes specifically reserved for testing purposes,This code is for Codes specifically reserved for testing purposes,963
XXX,The codes assigned for transactions where no currency is involved,This code is for The codes assigned for transactions where no currency is involved,999
XAU,Gold,This code is for Gold,959
XPD,Palladium,This code is for Palladium,964
XPT,Platinum,This code is for Platinum,962
XAG,Silver,This code is for Silver,961
