Code,Description,Definition
01,Local,"A unique, persistent identifier used by the submitting organisation"
02,NZBN,New Zealand Business Number
03,ABN,Australian Business Number
04,EBN,European Business Number
05,RN,US Registered Number
06,Ringold,Ringold identifier for organisations in the publishing industry supply chain
07,ROR,Research Organization Registry
08,GRID,Global Research Identifier Database
99,Other Identifier,An identifier not otherwise identified
