Version,Code,Description,Definition
1.0,I,Indigenous Innovation,Contributing to Economic Growth through Distinctive R&D
1.0,T,Taiao,Achieving environmental sustainability through Iwi and Hapu relationships with land and sea
1.0,H,Hauora / Oranga,Improving Health and Social Wellbeing
1.0,M,Mātauranga,Exploring indigenous knowledge and RS&T
