Version,Code,Description,Definition
1.0,C,Contestable,Awards are granted following a call for proposals that is subject to competition
1.0,N,Negotiated,Funder and provider(s) negotiate a set of expected deliverables. Not subject to competition.
1.0,O,On-demand,Funding is awarded if provider or proposal meets a specified set of criteria. Not subject to competition.
1.0,I,Formula-based institutional funding,Funding awarded to an institution on the basis of a formula. Not subject to competition.
1.0,E,Endowment,"A financial asset, in the form of a donation made to a non-profit group, institution or individual consisting of investment funds or other property that may or may not have a stated purpose at the bequest of the donor. Not subject to competition."
