Version,Code,Description,Definition
1.0,I,Individual,A single individual is submitting the application and will receive the award
1.0,O,Organisation,A single organisation is submitting the application and will receive any award
1.0,M,Multi-Organisation,A group of organisations are submitting the application and will share any award
1.0,A,Asset Pool,An asset pool will receive the awarded resources (devolved resources)
