Version,Code,Description,Definition
1.0,01,Full Award,The asset poll allocated all requested resources allocated
1.0,02,Partial Award,The asset pool allocated some of the requested resources
1.0,03,Decline,The asset pool declined to allocate resources
1.0,04,Not eligible,The application did not meet eligibility criteria and could not be allocated resources
1.0,05,Withdrawn,The applicant withdrew the application for resources prior to completion of the allocation process
1.0,06,Not progressing,The applicant has not supplied sufficient information to progress with the application
1.0,99,Other Decision,A decision not otherwise specified in this code set
